,Quarter,Region,State,Purpose,Trips
5692,01/10/2014,Central Murray,Victoria,Other,10.008267
5693,01/01/2015,Central Murray,Victoria,Other,2.2525635
5694,01/04/2015,Central Murray,Victoria,Other,1.2462095
5695,01/07/2015,Central Murray,Victoria,Other,2.077171
5696,01/10/2015,Central Murray,Victoria,Other,8.0989976
5697,01/01/2016,Central Murray,Victoria,Other,3.5600335
5698,01/04/2016,Central Murray,Victoria,Other,10.4573113
5699,01/07/2016,Central Murray,Victoria,Other,4.8322557
5700,01/10/2016,Central Murray,Victoria,Other,5.9182928
5701,01/01/1998,Central Murray,Victoria,Visiting,42.9397239
5702,01/04/1998,Central Murray,Victoria,Visiting,63.9868787
5703,01/07/1998,Central Murray,Victoria,Visiting,31.2719121
5704,01/10/1998,Central Murray,Victoria,Visiting,109.8684337
5705,01/01/1999,Central Murray,Victoria,Visiting,60.1849374
5706,01/04/1999,Central Murray,Victoria,Visiting,22.1667093
5707,01/07/1999,Central Murray,Victoria,Visiting,50.4383739
5708,01/10/1999,Central Murray,Victoria,Visiting,36.2154041
5709,01/01/2000,Central Murray,Victoria,Visiting,63.7091436
5710,01/04/2000,Central Murray,Victoria,Visiting,41.3923514
5711,01/07/2000,Central Murray,Victoria,Visiting,31.1455237
5712,01/10/2000,Central Murray,Victoria,Visiting,37.5338735
5713,01/01/2001,Central Murray,Victoria,Visiting,68.3946814
5714,01/04/2001,Central Murray,Victoria,Visiting,71.8210154
5715,01/07/2001,Central Murray,Victoria,Visiting,33.6682931
5716,01/10/2001,Central Murray,Victoria,Visiting,77.1620957
5717,01/01/2002,Central Murray,Victoria,Visiting,46.3466596
5718,01/04/2002,Central Murray,Victoria,Visiting,56.6188901
5719,01/07/2002,Central Murray,Victoria,Visiting,54.3577986
5720,01/10/2002,Central Murray,Victoria,Visiting,54.8869146
5721,01/01/2003,Central Murray,Victoria,Visiting,51.7902069
5722,01/04/2003,Central Murray,Victoria,Visiting,58.662191
5723,01/07/2003,Central Murray,Victoria,Visiting,59.3984677
5724,01/10/2003,Central Murray,Victoria,Visiting,51.1115061
5725,01/01/2004,Central Murray,Victoria,Visiting,85.5584349
5726,01/04/2004,Central Murray,Victoria,Visiting,71.833382
5727,01/07/2004,Central Murray,Victoria,Visiting,64.1156508
5728,01/10/2004,Central Murray,Victoria,Visiting,46.0283729
5729,01/01/2005,Central Murray,Victoria,Visiting,72.766233
5730,01/04/2005,Central Murray,Victoria,Visiting,72.090057
5731,01/07/2005,Central Murray,Victoria,Visiting,49.9169219
5732,01/10/2005,Central Murray,Victoria,Visiting,51.9914102
5733,01/01/2006,Central Murray,Victoria,Visiting,69.360594
5734,01/04/2006,Central Murray,Victoria,Visiting,66.451808
5735,01/07/2006,Central Murray,Victoria,Visiting,72.322559
5736,01/10/2006,Central Murray,Victoria,Visiting,47.177184
5737,01/01/2007,Central Murray,Victoria,Visiting,34.4611706
5738,01/04/2007,Central Murray,Victoria,Visiting,56.3105678
5739,01/07/2007,Central Murray,Victoria,Visiting,45.4300475
5740,01/10/2007,Central Murray,Victoria,Visiting,49.1308645
5741,01/01/2008,Central Murray,Victoria,Visiting,50.6314431
5742,01/04/2008,Central Murray,Victoria,Visiting,57.4160309
5743,01/07/2008,Central Murray,Victoria,Visiting,39.5717971
5744,01/10/2008,Central Murray,Victoria,Visiting,56.0833044
5745,01/01/2009,Central Murray,Victoria,Visiting,35.393455
5746,01/04/2009,Central Murray,Victoria,Visiting,27.4945213
5747,01/07/2009,Central Murray,Victoria,Visiting,46.9379548
5748,01/10/2009,Central Murray,Victoria,Visiting,47.3018613
5749,01/01/2010,Central Murray,Victoria,Visiting,35.6225012
5750,01/04/2010,Central Murray,Victoria,Visiting,45.4570975
5751,01/07/2010,Central Murray,Victoria,Visiting,34.1252322
5752,01/10/2010,Central Murray,Victoria,Visiting,61.533837
5753,01/01/2011,Central Murray,Victoria,Visiting,67.0407503
5754,01/04/2011,Central Murray,Victoria,Visiting,64.472354
5755,01/07/2011,Central Murray,Victoria,Visiting,42.8043151
5756,01/10/2011,Central Murray,Victoria,Visiting,74.678893
5757,01/01/2012,Central Murray,Victoria,Visiting,47.7064594
5758,01/04/2012,Central Murray,Victoria,Visiting,47.7482675
5759,01/07/2012,Central Murray,Victoria,Visiting,37.1979795
5760,01/10/2012,Central Murray,Victoria,Visiting,41.6546986
5761,01/01/2013,Central Murray,Victoria,Visiting,47.0909395
5762,01/04/2013,Central Murray,Victoria,Visiting,39.1497602
5763,01/07/2013,Central Murray,Victoria,Visiting,50.5877916
5764,01/10/2013,Central Murray,Victoria,Visiting,58.6430455
5765,01/01/2014,Central Murray,Victoria,Visiting,79.51686
5766,01/04/2014,Central Murray,Victoria,Visiting,61.4948394
5767,01/07/2014,Central Murray,Victoria,Visiting,80.3018848
5768,01/10/2014,Central Murray,Victoria,Visiting,61.0812917
5769,01/01/2015,Central Murray,Victoria,Visiting,66.1028179
5770,01/04/2015,Central Murray,Victoria,Visiting,52.9456992
5771,01/07/2015,Central Murray,Victoria,Visiting,58.6667694
5772,01/10/2015,Central Murray,Victoria,Visiting,73.6848654
5773,01/01/2016,Central Murray,Victoria,Visiting,43.676311
5774,01/04/2016,Central Murray,Victoria,Visiting,33.9307784
5775,01/07/2016,Central Murray,Victoria,Visiting,72.2246243
5776,01/10/2016,Central Murray,Victoria,Visiting,67.1894414
5777,01/01/1998,Central NSW,New South Wales,Business,99.832452
5778,01/04/1998,Central NSW,New South Wales,Business,152.579846
5779,01/07/1998,Central NSW,New South Wales,Business,99.7700754
5780,01/10/1998,Central NSW,New South Wales,Business,136.6599771
5781,01/01/1999,Central NSW,New South Wales,Business,56.9351
5782,01/04/1999,Central NSW,New South Wales,Business,82.6319611
5783,01/07/1999,Central NSW,New South Wales,Business,83.1314397
5784,01/10/1999,Central NSW,New South Wales,Business,61.3257605
5785,01/01/2000,Central NSW,New South Wales,Business,90.4586427
5786,01/04/2000,Central NSW,New South Wales,Business,129.2496655
5787,01/07/2000,Central NSW,New South Wales,Business,88.3184169
5788,01/10/2000,Central NSW,New South Wales,Business,140.0782312
5789,01/01/2001,Central NSW,New South Wales,Business,69.2208029
5790,01/04/2001,Central NSW,New South Wales,Business,86.2001079
5791,01/07/2001,Central NSW,New South Wales,Business,120.1315873
5792,01/10/2001,Central NSW,New South Wales,Business,82.1456867
5793,01/01/2002,Central NSW,New South Wales,Business,98.5088822
5794,01/04/2002,Central NSW,New South Wales,Business,118.3955164
5795,01/07/2002,Central NSW,New South Wales,Business,167.1409485
5796,01/10/2002,Central NSW,New South Wales,Business,92.3641128
5797,01/01/2003,Central NSW,New South Wales,Business,65.1289659
5798,01/04/2003,Central NSW,New South Wales,Business,118.5155274
5799,01/07/2003,Central NSW,New South Wales,Business,123.7191391
5800,01/10/2003,Central NSW,New South Wales,Business,68.5506463
5801,01/01/2004,Central NSW,New South Wales,Business,66.3424581
5802,01/04/2004,Central NSW,New South Wales,Business,98.4228111
5803,01/07/2004,Central NSW,New South Wales,Business,123.5008726
5804,01/10/2004,Central NSW,New South Wales,Business,85.9388724
5805,01/01/2005,Central NSW,New South Wales,Business,72.7518492
5806,01/04/2005,Central NSW,New South Wales,Business,73.2200781
5807,01/07/2005,Central NSW,New South Wales,Business,79.644004
5808,01/10/2005,Central NSW,New South Wales,Business,107.534824
5809,01/01/2006,Central NSW,New South Wales,Business,74.351889
5810,01/04/2006,Central NSW,New South Wales,Business,67.415514
5811,01/07/2006,Central NSW,New South Wales,Business,71.392079
5812,01/10/2006,Central NSW,New South Wales,Business,56.024018
5813,01/01/2007,Central NSW,New South Wales,Business,62.6272587
5814,01/04/2007,Central NSW,New South Wales,Business,84.6243217
5815,01/07/2007,Central NSW,New South Wales,Business,97.0113383
5816,01/10/2007,Central NSW,New South Wales,Business,75.5316146
5817,01/01/2008,Central NSW,New South Wales,Business,93.001228
5818,01/04/2008,Central NSW,New South Wales,Business,93.1386306
5819,01/07/2008,Central NSW,New South Wales,Business,82.080274
5820,01/10/2008,Central NSW,New South Wales,Business,80.9019565
5821,01/01/2009,Central NSW,New South Wales,Business,47.229181
5822,01/04/2009,Central NSW,New South Wales,Business,81.2344901
5823,01/07/2009,Central NSW,New South Wales,Business,94.090973
5824,01/10/2009,Central NSW,New South Wales,Business,66.7347253
5825,01/01/2010,Central NSW,New South Wales,Business,56.0234503
5826,01/04/2010,Central NSW,New South Wales,Business,68.0939441
5827,01/07/2010,Central NSW,New South Wales,Business,111.9774499
5828,01/10/2010,Central NSW,New South Wales,Business,38.497708
5829,01/01/2011,Central NSW,New South Wales,Business,48.2917576
5830,01/04/2011,Central NSW,New South Wales,Business,84.6492622
5831,01/07/2011,Central NSW,New South Wales,Business,106.7746042
5832,01/10/2011,Central NSW,New South Wales,Business,116.7211257
5833,01/01/2012,Central NSW,New South Wales,Business,80.1424167
5834,01/04/2012,Central NSW,New South Wales,Business,118.9619081
5835,01/07/2012,Central NSW,New South Wales,Business,75.9860203
5836,01/10/2012,Central NSW,New South Wales,Business,69.4461722
5837,01/01/2013,Central NSW,New South Wales,Business,38.4214424
5838,01/04/2013,Central NSW,New South Wales,Business,105.7243414
5839,01/07/2013,Central NSW,New South Wales,Business,98.2057034
5840,01/10/2013,Central NSW,New South Wales,Business,113.9043182
5841,01/01/2014,Central NSW,New South Wales,Business,73.6733812
5842,01/04/2014,Central NSW,New South Wales,Business,142.4717434
5843,01/07/2014,Central NSW,New South Wales,Business,107.0530866
5844,01/10/2014,Central NSW,New South Wales,Business,133.6129442
5845,01/01/2015,Central NSW,New South Wales,Business,49.1606832
5846,01/04/2015,Central NSW,New South Wales,Business,117.1843062
5847,01/07/2015,Central NSW,New South Wales,Business,102.8318672
5848,01/10/2015,Central NSW,New South Wales,Business,114.122841
5849,01/01/2016,Central NSW,New South Wales,Business,105.262351
5850,01/04/2016,Central NSW,New South Wales,Business,81.7780417
5851,01/07/2016,Central NSW,New South Wales,Business,120.4516491
5852,01/10/2016,Central NSW,New South Wales,Business,94.7146474
5853,01/01/1998,Central NSW,New South Wales,Holiday,169.5717532
5854,01/04/1998,Central NSW,New South Wales,Holiday,173.9359125
5855,01/07/1998,Central NSW,New South Wales,Holiday,197.6246362
5856,01/10/1998,Central NSW,New South Wales,Holiday,284.6541445
5857,01/01/1999,Central NSW,New South Wales,Holiday,208.0582697
5858,01/04/1999,Central NSW,New South Wales,Holiday,166.6374398
5859,01/07/1999,Central NSW,New South Wales,Holiday,238.6022786
5860,01/10/1999,Central NSW,New South Wales,Holiday,254.4460481
5861,01/01/2000,Central NSW,New South Wales,Holiday,139.7919942
5862,01/04/2000,Central NSW,New South Wales,Holiday,176.6733704
5863,01/07/2000,Central NSW,New South Wales,Holiday,195.4752141
5864,01/10/2000,Central NSW,New South Wales,Holiday,140.533789
5865,01/01/2001,Central NSW,New South Wales,Holiday,187.2618009
5866,01/04/2001,Central NSW,New South Wales,Holiday,167.0780099
5867,01/07/2001,Central NSW,New South Wales,Holiday,196.983581
5868,01/10/2001,Central NSW,New South Wales,Holiday,209.4023476
5869,01/01/2002,Central NSW,New South Wales,Holiday,157.9075978
5870,01/04/2002,Central NSW,New South Wales,Holiday,265.3904293
5871,01/07/2002,Central NSW,New South Wales,Holiday,170.2183956
5872,01/10/2002,Central NSW,New South Wales,Holiday,199.6983897
5873,01/01/2003,Central NSW,New South Wales,Holiday,192.084538
5874,01/04/2003,Central NSW,New South Wales,Holiday,173.306104
5875,01/07/2003,Central NSW,New South Wales,Holiday,238.5568994
5876,01/10/2003,Central NSW,New South Wales,Holiday,242.4183208
5877,01/01/2004,Central NSW,New South Wales,Holiday,147.2727504
5878,01/04/2004,Central NSW,New South Wales,Holiday,205.9593972
5879,01/07/2004,Central NSW,New South Wales,Holiday,169.9634347
5880,01/10/2004,Central NSW,New South Wales,Holiday,184.3292307
5881,01/01/2005,Central NSW,New South Wales,Holiday,175.2526038
5882,01/04/2005,Central NSW,New South Wales,Holiday,170.4139804
5883,01/07/2005,Central NSW,New South Wales,Holiday,180.4292621
5884,01/10/2005,Central NSW,New South Wales,Holiday,152.3818629
5885,01/01/2006,Central NSW,New South Wales,Holiday,148.541396
5886,01/04/2006,Central NSW,New South Wales,Holiday,180.589886
5887,01/07/2006,Central NSW,New South Wales,Holiday,156.644612
5888,01/10/2006,Central NSW,New South Wales,Holiday,171.989872
5889,01/01/2007,Central NSW,New South Wales,Holiday,147.8998986
5890,01/04/2007,Central NSW,New South Wales,Holiday,177.2297521
5891,01/07/2007,Central NSW,New South Wales,Holiday,148.39276
5892,01/10/2007,Central NSW,New South Wales,Holiday,194.055415
5893,01/01/2008,Central NSW,New South Wales,Holiday,154.2770242
5894,01/04/2008,Central NSW,New South Wales,Holiday,163.732345
5895,01/07/2008,Central NSW,New South Wales,Holiday,151.7959576
5896,01/10/2008,Central NSW,New South Wales,Holiday,149.5333543
5897,01/01/2009,Central NSW,New South Wales,Holiday,101.0432239
5898,01/04/2009,Central NSW,New South Wales,Holiday,179.2985704
5899,01/07/2009,Central NSW,New South Wales,Holiday,161.0340492
5900,01/10/2009,Central NSW,New South Wales,Holiday,161.8622259
5901,01/01/2010,Central NSW,New South Wales,Holiday,169.1637938
5902,01/04/2010,Central NSW,New South Wales,Holiday,158.3692671
5903,01/07/2010,Central NSW,New South Wales,Holiday,166.3904061
5904,01/10/2010,Central NSW,New South Wales,Holiday,194.7727519
5905,01/01/2011,Central NSW,New South Wales,Holiday,151.6178849
5906,01/04/2011,Central NSW,New South Wales,Holiday,146.8674836
5907,01/07/2011,Central NSW,New South Wales,Holiday,165.0049526
5908,01/10/2011,Central NSW,New South Wales,Holiday,168.1794614
5909,01/01/2012,Central NSW,New South Wales,Holiday,141.4078676
5910,01/04/2012,Central NSW,New South Wales,Holiday,193.6725777
5911,01/07/2012,Central NSW,New South Wales,Holiday,145.875752
5912,01/10/2012,Central NSW,New South Wales,Holiday,194.0545281
5913,01/01/2013,Central NSW,New South Wales,Holiday,129.1367599
5914,01/04/2013,Central NSW,New South Wales,Holiday,223.6487753
5915,01/07/2013,Central NSW,New South Wales,Holiday,155.2765253
5916,01/10/2013,Central NSW,New South Wales,Holiday,149.0275793
5917,01/01/2014,Central NSW,New South Wales,Holiday,120.0349565
5918,01/04/2014,Central NSW,New South Wales,Holiday,176.2819228
5919,01/07/2014,Central NSW,New South Wales,Holiday,174.163397
5920,01/10/2014,Central NSW,New South Wales,Holiday,193.6603799
5921,01/01/2015,Central NSW,New South Wales,Holiday,174.5566169
5922,01/04/2015,Central NSW,New South Wales,Holiday,180.4158564
5923,01/07/2015,Central NSW,New South Wales,Holiday,164.8276864
5924,01/10/2015,Central NSW,New South Wales,Holiday,193.8163869
5925,01/01/2016,Central NSW,New South Wales,Holiday,171.4548066
5926,01/04/2016,Central NSW,New South Wales,Holiday,205.2921058
5927,01/07/2016,Central NSW,New South Wales,Holiday,162.1012033
5928,01/10/2016,Central NSW,New South Wales,Holiday,195.8905279
5929,01/01/1998,Central NSW,New South Wales,Other,11.7481006
5930,01/04/1998,Central NSW,New South Wales,Other,21.4781007
5931,01/07/1998,Central NSW,New South Wales,Other,45.6897672
5932,01/10/1998,Central NSW,New South Wales,Other,26.3137492
5933,01/01/1999,Central NSW,New South Wales,Other,34.8634122
5934,01/04/1999,Central NSW,New South Wales,Other,11.41632
5935,01/07/1999,Central NSW,New South Wales,Other,19.039386
5936,01/10/1999,Central NSW,New South Wales,Other,54.6667361
5937,01/01/2000,Central NSW,New South Wales,Other,12.9257104
5938,01/04/2000,Central NSW,New South Wales,Other,23.549126
5939,01/07/2000,Central NSW,New South Wales,Other,26.9871319
5940,01/10/2000,Central NSW,New South Wales,Other,13.7720995
5941,01/01/2001,Central NSW,New South Wales,Other,10.627458
5942,01/04/2001,Central NSW,New South Wales,Other,21.1030868
5943,01/07/2001,Central NSW,New South Wales,Other,18.9798339
5944,01/10/2001,Central NSW,New South Wales,Other,24.5751167
5945,01/01/2002,Central NSW,New South Wales,Other,12.8390347
5946,01/04/2002,Central NSW,New South Wales,Other,41.3798157
5947,01/07/2002,Central NSW,New South Wales,Other,40.6023158
5948,01/10/2002,Central NSW,New South Wales,Other,28.7667834
5949,01/01/2003,Central NSW,New South Wales,Other,25.6003322
5950,01/04/2003,Central NSW,New South Wales,Other,21.6622101
5951,01/07/2003,Central NSW,New South Wales,Other,19.9486215
5952,01/10/2003,Central NSW,New South Wales,Other,10.8937955
5953,01/01/2004,Central NSW,New South Wales,Other,4.856737
5954,01/04/2004,Central NSW,New South Wales,Other,13.6155224
5955,01/07/2004,Central NSW,New South Wales,Other,17.0662435
5956,01/10/2004,Central NSW,New South Wales,Other,19.0774604
5957,01/01/2005,Central NSW,New South Wales,Other,43.2937057
5958,01/04/2005,Central NSW,New South Wales,Other,17.900744
5959,01/07/2005,Central NSW,New South Wales,Other,25.7217499
5960,01/10/2005,Central NSW,New South Wales,Other,21.9159629
5961,01/01/2006,Central NSW,New South Wales,Other,26.738253
5962,01/04/2006,Central NSW,New South Wales,Other,11.665214
5963,01/07/2006,Central NSW,New South Wales,Other,26.397022
5964,01/10/2006,Central NSW,New South Wales,Other,29.057251
5965,01/01/2007,Central NSW,New South Wales,Other,9.0433063
5966,01/04/2007,Central NSW,New South Wales,Other,39.8986215
5967,01/07/2007,Central NSW,New South Wales,Other,28.6457267
5968,01/10/2007,Central NSW,New South Wales,Other,20.5869047
5969,01/01/2008,Central NSW,New South Wales,Other,24.5671459
5970,01/04/2008,Central NSW,New South Wales,Other,1.1803163
5971,01/07/2008,Central NSW,New South Wales,Other,39.8318347
5972,01/10/2008,Central NSW,New South Wales,Other,24.3221593
5973,01/01/2009,Central NSW,New South Wales,Other,21.4217754
5974,01/04/2009,Central NSW,New South Wales,Other,10.0632292
5975,01/07/2009,Central NSW,New South Wales,Other,16.9816525
5976,01/10/2009,Central NSW,New South Wales,Other,20.986533
5977,01/01/2010,Central NSW,New South Wales,Other,8.334521
5978,01/04/2010,Central NSW,New South Wales,Other,14.8690402
5979,01/07/2010,Central NSW,New South Wales,Other,39.7119606
5980,01/10/2010,Central NSW,New South Wales,Other,16.2844238
5981,01/01/2011,Central NSW,New South Wales,Other,37.6696607
5982,01/04/2011,Central NSW,New South Wales,Other,17.2711924
5983,01/07/2011,Central NSW,New South Wales,Other,29.7746324
5984,01/10/2011,Central NSW,New South Wales,Other,25.0632692
5985,01/01/2012,Central NSW,New South Wales,Other,18.6372464
5986,01/04/2012,Central NSW,New South Wales,Other,21.1232404
5987,01/07/2012,Central NSW,New South Wales,Other,24.8209429
5988,01/10/2012,Central NSW,New South Wales,Other,17.8099983
5989,01/01/2013,Central NSW,New South Wales,Other,11.2842529
5990,01/04/2013,Central NSW,New South Wales,Other,41.0554527
5991,01/07/2013,Central NSW,New South Wales,Other,12.9088848
5992,01/10/2013,Central NSW,New South Wales,Other,27.109417
5993,01/01/2014,Central NSW,New South Wales,Other,25.4051285
5994,01/04/2014,Central NSW,New South Wales,Other,18.3278401
5995,01/07/2014,Central NSW,New South Wales,Other,44.3793777
5996,01/10/2014,Central NSW,New South Wales,Other,36.3114009
5997,01/01/2015,Central NSW,New South Wales,Other,24.0721421
5998,01/04/2015,Central NSW,New South Wales,Other,18.4222954
5999,01/07/2015,Central NSW,New South Wales,Other,20.5846167
6000,01/10/2015,Central NSW,New South Wales,Other,23.7171916
6001,01/01/2016,Central NSW,New South Wales,Other,34.0959221
6002,01/04/2016,Central NSW,New South Wales,Other,32.0249143
6003,01/07/2016,Central NSW,New South Wales,Other,48.505726
6004,01/10/2016,Central NSW,New South Wales,Other,27.8020882
6005,01/01/1998,Central NSW,New South Wales,Visiting,143.2431406
6006,01/04/1998,Central NSW,New South Wales,Visiting,209.0177113
6007,01/07/1998,Central NSW,New South Wales,Visiting,212.4434913
6008,01/10/1998,Central NSW,New South Wales,Visiting,142.5305646
6009,01/01/1999,Central NSW,New South Wales,Visiting,180.2724784
6010,01/04/1999,Central NSW,New South Wales,Visiting,198.9555589
6011,01/07/1999,Central NSW,New South Wales,Visiting,128.5991364
6012,01/10/1999,Central NSW,New South Wales,Visiting,193.6967244
6013,01/01/2000,Central NSW,New South Wales,Visiting,170.4225838
6014,01/04/2000,Central NSW,New South Wales,Visiting,137.6183605
6015,01/07/2000,Central NSW,New South Wales,Visiting,138.6159885
6016,01/10/2000,Central NSW,New South Wales,Visiting,178.9669584
6017,01/01/2001,Central NSW,New South Wales,Visiting,148.4382734
6018,01/04/2001,Central NSW,New South Wales,Visiting,136.6000044
6019,01/07/2001,Central NSW,New South Wales,Visiting,188.0229746
6020,01/10/2001,Central NSW,New South Wales,Visiting,164.9870639
6021,01/01/2002,Central NSW,New South Wales,Visiting,168.6966363
6022,01/04/2002,Central NSW,New South Wales,Visiting,167.6693835
6023,01/07/2002,Central NSW,New South Wales,Visiting,170.4364461
6024,01/10/2002,Central NSW,New South Wales,Visiting,213.7781196
6025,01/01/2003,Central NSW,New South Wales,Visiting,165.9457363
6026,01/04/2003,Central NSW,New South Wales,Visiting,229.3835257
6027,01/07/2003,Central NSW,New South Wales,Visiting,204.1430285
6028,01/10/2003,Central NSW,New South Wales,Visiting,252.3568467
6029,01/01/2004,Central NSW,New South Wales,Visiting,168.6641506
6030,01/04/2004,Central NSW,New South Wales,Visiting,216.490016
6031,01/07/2004,Central NSW,New South Wales,Visiting,169.7488849
6032,01/10/2004,Central NSW,New South Wales,Visiting,226.5659623
6033,01/01/2005,Central NSW,New South Wales,Visiting,201.9206832
6034,01/04/2005,Central NSW,New South Wales,Visiting,192.4553441
6035,01/07/2005,Central NSW,New South Wales,Visiting,157.5545229
6036,01/10/2005,Central NSW,New South Wales,Visiting,161.9592249
6037,01/01/2006,Central NSW,New South Wales,Visiting,186.882916
6038,01/04/2006,Central NSW,New South Wales,Visiting,189.17712
6039,01/07/2006,Central NSW,New South Wales,Visiting,199.569646
6040,01/10/2006,Central NSW,New South Wales,Visiting,156.310878
6041,01/01/2007,Central NSW,New South Wales,Visiting,185.4601913
6042,01/04/2007,Central NSW,New South Wales,Visiting,206.12159
6043,01/07/2007,Central NSW,New South Wales,Visiting,164.3236403
6044,01/10/2007,Central NSW,New South Wales,Visiting,138.5646762
6045,01/01/2008,Central NSW,New South Wales,Visiting,196.9595142
6046,01/04/2008,Central NSW,New South Wales,Visiting,159.7862896
6047,01/07/2008,Central NSW,New South Wales,Visiting,167.7988172
6048,01/10/2008,Central NSW,New South Wales,Visiting,143.2568578
6049,01/01/2009,Central NSW,New South Wales,Visiting,173.5213095
6050,01/04/2009,Central NSW,New South Wales,Visiting,163.4890733
6051,01/07/2009,Central NSW,New South Wales,Visiting,98.8187702
6052,01/10/2009,Central NSW,New South Wales,Visiting,207.075371
6053,01/01/2010,Central NSW,New South Wales,Visiting,123.2523301
6054,01/04/2010,Central NSW,New South Wales,Visiting,153.4142639
6055,01/07/2010,Central NSW,New South Wales,Visiting,124.1886392
6056,01/10/2010,Central NSW,New South Wales,Visiting,167.425334
6057,01/01/2011,Central NSW,New South Wales,Visiting,167.5144718
6058,01/04/2011,Central NSW,New South Wales,Visiting,148.3561432
6059,01/07/2011,Central NSW,New South Wales,Visiting,153.7877573
6060,01/10/2011,Central NSW,New South Wales,Visiting,162.6136476
6061,01/01/2012,Central NSW,New South Wales,Visiting,183.0964228
6062,01/04/2012,Central NSW,New South Wales,Visiting,192.8718778
6063,01/07/2012,Central NSW,New South Wales,Visiting,148.1758342
6064,01/10/2012,Central NSW,New South Wales,Visiting,224.3727738
6065,01/01/2013,Central NSW,New South Wales,Visiting,184.3570695
6066,01/04/2013,Central NSW,New South Wales,Visiting,189.9699588
6067,01/07/2013,Central NSW,New South Wales,Visiting,138.5940784
6068,01/10/2013,Central NSW,New South Wales,Visiting,151.1359169
6069,01/01/2014,Central NSW,New South Wales,Visiting,148.3943005
6070,01/04/2014,Central NSW,New South Wales,Visiting,169.856105
6071,01/07/2014,Central NSW,New South Wales,Visiting,173.1144048
6072,01/10/2014,Central NSW,New South Wales,Visiting,205.8904922
6073,01/01/2015,Central NSW,New South Wales,Visiting,148.0573753
6074,01/04/2015,Central NSW,New South Wales,Visiting,198.5185648
6075,01/07/2015,Central NSW,New South Wales,Visiting,167.7466156
6076,01/10/2015,Central NSW,New South Wales,Visiting,180.8678784
6077,01/01/2016,Central NSW,New South Wales,Visiting,192.8805212
6078,01/04/2016,Central NSW,New South Wales,Visiting,141.9481553
6079,01/07/2016,Central NSW,New South Wales,Visiting,174.1782244
6080,01/10/2016,Central NSW,New South Wales,Visiting,206.8473638
6081,01/01/1998,Central Queensland,Queensland,Business,55.0462885
6082,01/04/1998,Central Queensland,Queensland,Business,74.6570898
6083,01/07/1998,Central Queensland,Queensland,Business,37.1909594
6084,01/10/1998,Central Queensland,Queensland,Business,78.7674028
6085,01/01/1999,Central Queensland,Queensland,Business,50.5371902
6086,01/04/1999,Central Queensland,Queensland,Business,87.4463864
6087,01/07/1999,Central Queensland,Queensland,Business,116.3518418
6088,01/10/1999,Central Queensland,Queensland,Business,72.4510783
6089,01/01/2000,Central Queensland,Queensland,Business,26.6164911
6090,01/04/2000,Central Queensland,Queensland,Business,102.5300888
6091,01/07/2000,Central Queensland,Queensland,Business,78.2112933
6092,01/10/2000,Central Queensland,Queensland,Business,76.6528664
6093,01/01/2001,Central Queensland,Queensland,Business,76.5257779
6094,01/04/2001,Central Queensland,Queensland,Business,94.8665847
6095,01/07/2001,Central Queensland,Queensland,Business,52.8669859
6096,01/10/2001,Central Queensland,Queensland,Business,80.1565947
6097,01/01/2002,Central Queensland,Queensland,Business,77.09945
6098,01/04/2002,Central Queensland,Queensland,Business,125.6806761
6099,01/07/2002,Central Queensland,Queensland,Business,105.9011015
6100,01/10/2002,Central Queensland,Queensland,Business,43.1416688
6101,01/01/2003,Central Queensland,Queensland,Business,40.4793329
6102,01/04/2003,Central Queensland,Queensland,Business,56.1191882
6103,01/07/2003,Central Queensland,Queensland,Business,102.7054274
6104,01/10/2003,Central Queensland,Queensland,Business,84.933633
6105,01/01/2004,Central Queensland,Queensland,Business,79.3764677
6106,01/04/2004,Central Queensland,Queensland,Business,67.4783415
6107,01/07/2004,Central Queensland,Queensland,Business,60.3363204
6108,01/10/2004,Central Queensland,Queensland,Business,111.8262574
6109,01/01/2005,Central Queensland,Queensland,Business,82.1703388
6110,01/04/2005,Central Queensland,Queensland,Business,70.4278948
6111,01/07/2005,Central Queensland,Queensland,Business,103.4546148
6112,01/10/2005,Central Queensland,Queensland,Business,82.0081741
6113,01/01/2006,Central Queensland,Queensland,Business,57.038088
6114,01/04/2006,Central Queensland,Queensland,Business,74.127393
6115,01/07/2006,Central Queensland,Queensland,Business,57.30113
6116,01/10/2006,Central Queensland,Queensland,Business,74.949224
6117,01/01/2007,Central Queensland,Queensland,Business,99.7916872
6118,01/04/2007,Central Queensland,Queensland,Business,114.3295152
6119,01/07/2007,Central Queensland,Queensland,Business,85.7567679
6120,01/10/2007,Central Queensland,Queensland,Business,97.7994505
6121,01/01/2008,Central Queensland,Queensland,Business,72.677089
6122,01/04/2008,Central Queensland,Queensland,Business,65.8471789
6123,01/07/2008,Central Queensland,Queensland,Business,65.5299504
6124,01/10/2008,Central Queensland,Queensland,Business,79.9139881
6125,01/01/2009,Central Queensland,Queensland,Business,64.8370873
6126,01/04/2009,Central Queensland,Queensland,Business,52.6595885
6127,01/07/2009,Central Queensland,Queensland,Business,46.0491883
6128,01/10/2009,Central Queensland,Queensland,Business,65.20504
6129,01/01/2010,Central Queensland,Queensland,Business,111.9714826
6130,01/04/2010,Central Queensland,Queensland,Business,54.1944875
6131,01/07/2010,Central Queensland,Queensland,Business,64.8685706
6132,01/10/2010,Central Queensland,Queensland,Business,122.6784144
